,timestamp,count of registered resources,count of fully available resources,count of resources pending transcoding,count of available versions
153.499833088,1418922686593590000,67,1,52,24
154.71069568,1418922687804450000,67,1,52,24
155.967614976,1418922689061370000,67,1,52,24
157.206011136,1418922690299770000,67,1,52,24
158.474012672,1418922691567770000,67,1,52,24
159.752218368,1418922692845980000,67,1,52,24
160.969436672,1418922694063190000,67,1,52,24
162.188300544,1418922695282060000,67,1,52,24
163.448096512,1418922696541850000,67,1,52,24
164.705913856,1418922697799670000,68,1,53,24
165.926942976,1418922699020700000,69,1,54,24
167.15557632,1418922700249330000,69,1,54,24
168.37532544,1418922701469080000,69,1,54,24
169.595068416,1418922702688830000,69,1,54,24
170.818571264,1418922703912330000,69,1,54,24
172.041657088,1418922705135410000,69,1,54,24
173.288147456,1418922706381900000,69,1,54,24
174.53302144,1418922707626780000,69,1,54,24
175.77071872,1418922708864480000,69,1,54,24
177.002130176,1418922710095890000,69,1,54,27
178.209736704,1418922711303490000,69,1,54,28
179.459990016,1418922712553750000,70,1,55,29
180.694880768,1418922713788640000,71,1,56,29
181.914688768,1418922715008450000,72,1,57,29
183.127016192,1418922716220770000,73,1,58,29
184.354536704,1418922717448290000,73,1,58,29
185.588866304,1418922718682620000,73,1,58,29
186.828195072,1418922719921950000,73,1,58,29
188.079094272,1418922721172850000,74,1,59,29
189.422703872,1418922722516460000,74,1,59,29
190.744259328,1418922723838020000,74,1,59,29
191.986366464,1418922725080120000,74,1,59,29
193.218139136,1418922726311900000,74,1,59,29
194.525316352,1418922727619070000,74,1,59,29
195.778764288,1418922728872520000,74,1,59,29
197.027363072,1418922730121120000,74,1,59,29
198.257167104,1418922731350920000,77,1,62,30
199.523668736,1418922732617430000,77,1,62,31
200.757251328,1418922733851010000,77,1,62,32
201.998827776,1418922735092580000,77,1,62,32
203.221231616,1418922736314990000,77,1,62,32
204.449651456,1418922737543410000,77,1,62,32
205.683166976,1418922738776920000,77,1,62,32
206.909141248,1418922740002900000,77,1,62,32
208.131887616,1418922741225640000,77,1,62,32
209.366974464,1418922742460730000,77,1,62,32
210.640905216,1418922743734660000,77,1,62,32
211.884623616,1418922744978380000,77,1,62,33
213.133530368,1418922746227290000,77,1,61,36
214.416505856,1418922747510260000,77,1,61,36
215.684305408,1418922748778060000,77,1,61,36
216.933225472,1418922750026980000,77,1,61,36
218.188203776,1418922751281960000,77,1,61,36
219.4302848,1418922752524040000,78,1,62,36
220.670265856,1418922753764020000,78,1,62,36
221.881645312,1418922754975400000,78,1,62,36
223.0955776,1418922756189330000,78,1,62,36
224.336205056,1418922757429960000,78,1,62,36
225.590024192,1418922758683780000,78,1,62,36
226.82481408,1418922759918570000,78,1,62,36
228.071716608,1418922761165470000,78,1,62,36
229.28704,1418922762380800000,78,1,62,36
230.563036672,1418922763656790000,78,1,61,37
231.797915136,1418922764891670000,78,1,61,37
233.018916096,1418922766112670000,78,1,61,38
234.258163968,1418922767351920000,78,1,61,38
235.509368832,1418922768603130000,78,1,61,38
236.775004928,1418922769868760000,78,1,61,38
238.036826624,1418922771130580000,78,1,61,38
239.260813056,1418922772354570000,78,1,61,39
240.52164864,1418922773615410000,78,1,61,39
241.779163648,1418922774872920000,78,1,61,39
243.059968256,1418922776153730000,78,1,61,39
244.369568256,1418922777463330000,78,1,61,39
245.629018368,1418922778722780000,78,1,61,39
246.891021568,1418922779984780000,79,1,62,39
248.112531968,1418922781206290000,79,1,62,39
249.349384448,1418922782443140000,79,1,62,39
250.604798208,1418922783698560000,79,1,62,39
251.844483584,1418922784938240000,79,1,62,39
253.087899392,1418922786181660000,79,1,62,39
254.339515904,1418922787433270000,79,1,62,39
255.59721728,1418922788690970000,79,1,62,39
256.833622016,1418922789927380000,79,1,62,39
258.071368192,1418922791165130000,79,1,62,39
259.302613504,1418922792396370000,79,1,62,39
260.569014016,1418922793662770000,79,1,62,39
261.820431616,1418922794914190000,79,1,62,39
263.049929472,1418922796143690000,79,1,62,39
264.311655168,1418922797405410000,79,1,62,39
265.547546368,1418922798641300000,79,1,62,39
266.772960256,1418922799866720000,79,1,62,39
268.015100672,1418922801108860000,79,1,62,39
269.244292352,1418922802338050000,79,1,62,39
270.48972928,1418922803583490000,80,1,63,39
271.719969536,1418922804813730000,80,1,63,39
272.9643392,1418922806058100000,80,1,63,39
274.22361984,1418922807317380000,80,1,63,39
275.45864192,1418922808552400000,81,1,64,40
276.721560064,1418922809815320000,81,1,64,40
277.978758144,1418922811072520000,82,1,64,41
279.213127168,1418922812306880000,82,1,64,41
280.514718976,1418922813608480000,82,1,64,41
