timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1418910099392,7790,HTTP Request,502,Bad Gateway,Thread Group 1-5,text,false,290,5,5,2
1418910101472,6240,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,25
1418910106851,2656,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,5,5,32
1418910108348,4674,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,5,5,19
1418910108972,4629,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,39
1418910108554,6453,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511381,5,5,25
1418910109854,6851,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511377,5,5,144
1418910108593,9666,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511381,5,5,5099
1418910114470,4620,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,23
1418910115823,6086,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,5,5,29
1418910116095,6615,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511377,5,5,155
1418910119371,4059,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511381,5,5,21
1418910120085,4975,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,33
1418910118923,7404,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,5,5,29
1418910122665,6730,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,5,5,38
1418910123661,5854,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511377,5,5,161
1418910123387,6901,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511381,5,5,46
1418910127195,4203,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,5,5,40
1418910125675,5767,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,43
1418910131546,4857,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,5,5,21
1418910131230,5915,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,5,5,32
1418910130928,6277,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511381,5,5,25
1418910137841,310,HTTP Request,502,Bad Gateway,Thread Group 1-1,text,false,290,5,5,2
1418910132567,5772,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,38
1418910131000,7620,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511381,5,5,31
1418910138465,5172,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,5,5,46
1418910137583,6465,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,5,5,19
1418910137645,7656,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511377,5,5,197
1418910138999,6401,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511377,5,5,147
1418910139305,6332,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511381,5,5,35
1418910143995,6297,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511377,5,5,248
1418910145368,5791,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511381,5,5,32
1418910145265,6609,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511377,5,5,174
1418910147046,5060,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,32
1418910146345,5976,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511377,5,5,188
1418910153796,4542,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,5,5,31
1418910152518,5983,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511377,5,5,160
1418910151859,7608,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511377,5,5,195
1418910152579,9686,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,22
1418910153647,10274,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511381,5,5,31
