53,200,24,24,7
72,200,35,35,8
100,200,48,48,17
350,200,200,200,40
317,200,200,200,56
277,200,200,200,255
40,200,200,200,4
454,200,200,200,31
268,200,200,200,215
439,200,200,200,56
580,Non HTTP response code: org.apache.http.ConnectionClosedException,200,200,41
436,200,200,200,64
478,200,200,200,67
386,200,200,200,349
475,200,200,200,70
435,200,200,200,147
450,200,200,200,89
629,200,200,200,51
541,200,200,200,371
614,200,200,200,85
641,200,200,200,110
696,200,200,200,64
682,200,200,200,77
715,200,200,200,61
651,200,200,200,219
751,200,200,200,43
277,200,200,200,10
837,200,200,200,50
882,200,200,200,61
607,200,200,200,15
968,200,200,200,288
956,200,200,200,86
854,200,200,200,85
900,200,200,200,84
482,200,200,200,10
996,200,200,200,73
901,200,200,200,241
771,200,200,200,47
950,200,200,200,70
1025,200,200,200,48
922,200,200,200,416
1090,200,200,200,80
1007,200,200,200,87
1009,200,200,200,244
1005,200,200,200,532
999,200,200,200,561
1014,200,200,200,571
1014,200,200,200,566
1030,200,200,200,578
1044,200,200,200,606
1122,200,200,200,61
1051,200,200,200,557
878,200,200,200,11
1339,200,200,200,65
1335,200,200,200,70
1348,200,200,200,74
1352,200,200,200,144
1444,200,200,200,64
1468,200,200,200,57
1146,200,200,200,22
1715,200,200,200,30
1557,200,200,200,310
1792,200,200,200,19
1786,200,200,200,31
1520,200,200,200,551
1585,200,200,200,539
1933,200,200,200,36
1635,200,200,200,861
1697,200,200,200,593
1789,200,200,200,65
1882,200,200,200,53
1970,200,200,200,35
1888,200,200,200,105
1875,200,200,200,65
1868,200,200,200,66
1720,200,200,200,863
1190,200,200,200,199
1774,200,200,200,592
1926,200,200,200,32
1975,200,200,200,68
1996,200,200,200,49
1973,200,200,200,1535
1903,200,200,200,65
1895,200,200,200,1452
1886,200,200,200,104
1959,200,200,200,63
2034,200,200,200,71
2002,200,200,200,1522
1497,200,200,200,116
1933,200,200,200,1428
2137,200,200,200,61
1913,200,200,200,1417
1903,200,200,200,1407
2040,200,200,200,727
1979,200,200,200,116
1922,200,200,200,559
1958,200,200,200,564
132,Non HTTP response code: org.apache.http.NoHttpResponseException,200,200,0
1959,200,200,200,540
2109,200,200,200,54
2086,200,200,200,75
