150,200,4,4,111
150,200,4,4,110
150,200,4,4,114
29,200,4,4,3
29,200,4,4,4
44,200,4,4,9
26,200,4,4,8
35,200,4,4,5
25,200,4,4,6
23,200,4,4,5
18,200,4,4,5
14,200,4,4,2
13,200,4,4,1
14,200,4,4,2
13,200,4,4,1
14,200,4,4,2
17,200,4,4,4
336,200,4,4,113
18,200,4,4,1
26,200,4,4,6
22,200,4,4,4
26,200,4,4,6
22,200,4,4,5
25,200,4,4,5
26,200,4,4,5
238,200,4,4,7
31,200,4,4,4
33,200,4,4,5
55,200,4,4,6
30,200,4,4,4
35,200,4,4,2
61,200,4,4,6
284,200,4,4,6
31,200,4,4,7
32,200,4,4,5
36,200,4,4,6
47,200,4,4,8
30,200,4,4,6
29,200,4,4,4
43,200,4,4,14
36,200,4,4,6
34,200,4,4,6
34,200,4,4,6
41,200,4,4,6
31,200,4,4,5
31,200,4,4,4
33,200,4,4,6
45,200,4,4,6
20,200,4,4,2
49,200,4,4,7
47,200,4,4,5
29,200,4,4,6
25,200,4,4,7
27,200,4,4,8
38,200,4,4,13
20,200,4,4,2
26,200,4,4,6
21,200,4,4,6
31,200,4,4,6
20,200,4,4,5
27,200,4,4,3
24,200,4,4,4
25,200,4,4,3
26,200,4,4,2
17,200,4,4,1
30,200,4,4,6
21,200,4,4,5
18,200,4,4,5
32,200,4,4,6
30,200,4,4,4
499,200,4,4,7
44,200,4,4,6
258,200,4,4,5
51,200,4,4,8
35,200,4,4,7
38,200,4,4,4
56,200,4,4,6
25,200,4,4,6
27,200,4,4,7
47,200,4,4,7
17,200,4,4,1
30,200,4,4,4
20,200,4,4,5
17,200,4,4,5
14,200,4,4,2
13,200,4,4,1
57,200,4,4,5
24,200,4,4,6
36,200,4,4,16
22,200,4,4,5
14,200,4,4,4
19,200,4,4,6
22,200,4,4,5
36,200,4,4,6
15,200,4,4,2
22,200,4,4,5
34,200,4,4,5
265,200,4,4,5
35,200,4,4,5
31,200,4,4,7
30,200,4,4,6
36,200,4,4,5
47,200,4,4,6
22,200,4,4,2
31,200,4,4,5
49,200,4,4,9
34,200,4,4,6
34,200,4,4,7
29,200,4,4,5
33,200,4,4,6
448,200,4,4,8
31,200,4,4,6
31,200,4,4,6
27,200,4,4,5
24,200,4,4,5
19,200,4,4,4
19,200,4,4,5
19,200,4,4,5
36,200,4,4,5
22,200,4,4,5
25,200,4,4,5
27,200,4,4,4
20,200,4,4,5
24,200,4,4,5
22,200,4,4,5
17,200,4,4,5
31,200,4,4,7
254,200,4,4,6
29,200,4,4,6
48,200,4,4,7
39,200,4,4,6
262,200,4,4,5
51,200,4,4,6
43,200,4,4,8
35,200,4,4,6
50,200,4,4,7
47,200,4,4,8
37,200,4,4,6
73,200,4,4,6
34,200,4,4,6
25,200,4,4,7
39,200,4,4,18
24,200,4,4,7
17,200,4,4,4
13,200,4,4,2
14,200,4,4,2
13,200,4,4,2
13,200,4,4,1
13,200,4,4,1
14,200,4,4,2
14,200,4,4,2
14,200,4,4,2
14,200,4,4,2
14,200,4,4,2
13,200,4,4,2
234,200,4,4,8
20,200,4,4,4
280,200,4,4,6
30,200,4,4,5
30,200,4,4,6
34,200,4,4,6
36,200,4,4,6
36,200,4,4,5
264,200,4,4,3
42,200,4,4,5
50,200,4,4,7
59,200,4,4,5
65,200,4,4,6
35,200,4,4,6
48,200,4,4,8
40,200,4,4,6
35,200,4,4,6
45,200,4,4,6
73,200,4,4,6
45,200,4,4,5
53,200,4,4,7
34,200,4,4,7
27,200,4,4,4
51,200,4,4,6
47,200,4,4,5
39,200,4,4,8
66,200,4,4,17
37,200,4,4,6
46,200,4,4,8
40,200,4,4,7
50,200,4,4,6
61,200,4,4,24
35,200,4,4,6
41,200,4,4,5
42,200,4,4,7
21,200,4,4,5
28,200,4,4,6
46,200,4,4,18
14,200,4,4,2
19,200,4,4,2
38,200,4,4,5
22,200,4,4,5
25,200,4,4,5
22,200,4,4,5
27,200,4,4,6
23,200,4,4,5
22,200,4,4,5
28,200,4,4,6
254,200,4,4,8
26,200,4,4,5
27,200,4,4,6
27,200,4,4,4
33,200,4,4,6
30,200,4,4,5
59,200,4,4,6
31,200,4,4,6
277,200,4,4,4
29,200,4,4,8
46,200,4,4,5
48,200,4,4,7
44,200,4,4,5
41,200,4,4,6
44,200,4,4,4
51,200,4,4,6
27,200,4,4,4
40,200,4,4,5
45,200,4,4,7
65,200,4,4,25
31,200,4,4,6
36,200,4,4,5
35,200,4,4,6
40,200,4,4,7
29,200,4,4,6
42,200,4,4,6
29,200,4,4,7
40,200,4,4,13
